product_sku,product_name,sales_date,sales_year,sales_month,total_quantity
CSM-THU-009-GR-F,เฉพาะไลฟ์นี้ รวมเสื้อยืด T-Shirt ผู้ใหญ่ ลายลิขสิทธิ์ MHA (My Hero Academia) & CSM (ChainSaw Man) (CSM แขนยาวสีเทาอ่อน 009 (F ฟร,2025-10-01,2025,10,1
CSM-THU-015-BK-F,เฉพาะไลฟ์นี้ รวมเสื้อยืด T-Shirt ผู้ใหญ่ ลายลิขสิทธิ์ MHA (My Hero Academia) & CSM (ChainSaw Man) (CSM แขนสั้นสีดำ 015 (F ฟรีไซซ,2025-10-01,2025,10,1
DAT-127-32-BU-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขาสั้น สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-32-BU-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขาสั้น สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-32-PI-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขาสั้น สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-32-PI-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขาสั้น สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-32-PP-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขาสั้น สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-32-YE-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขาสั้น สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-33-BU-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนยาว-ขายาว สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-33-BU-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนยาว-ขายาว สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-33-PI-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนยาว-ขายาว สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-33-PP-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนยาว-ขายาว สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-33-PP-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนยาว-ขายาว สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-33-YE-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนยาว-ขายาว สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-33-YE-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนยาว-ขายาว สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-34-BU-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีฟ้า ฟรีไซส์),2025-10-01,2025,10,2
DAT-127-34-BU-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีฟ้า ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-34-PI-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-34-PI-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีชมพู ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-34-PP-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-34-PP-F/CL,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีม่วง ฟรีไซส์),2025-10-01,2025,10,0
DAT-127-34-YE-F,ชุดนอน PAJARA PAJAMAS (Lite) รหัส DPC-127 ลาย Disney MARIE (แขนสั้น-ขายาว สีเหลือง ฟรีไซส์),2025-10-01,2025,10,0
